sku,lensType,ODSphere,ODCylinder,ODAxis,ODAdd,OSSphere,OSCylinder,OSAxis,OSAdd,appearance,material,size,tint,addDate
60,Bifocal,1.75,-0.25,72,1.75,1.50,-0.50,119,1.75,Neutral,-,Large,N,20110425
61,Bifocal,1.75,-0.75,117,3.50,1.50,-0.50,180,3.50,Feminine,-,Medium,N,20110425
62,Bifocal,1.00,0.00,0,3.00,0.25,-1.00,45,3.00,Neutral,Metal,Large,N,20100512
63,Bifocal,3.25,-0.75,99,2.00,3.00,-0.75,68,2.00,Neutral,-,Medium,N,20170512
64,Bifocal,4.75,-1.25,100,1.25,4.25,-0.75,77,1.25,Neutral,Plastic,Large,N,20190916
65,Bifocal,1.00,-0.25,48,2.75,2.00,-0.25,83,2.75,Neutral,Metal,Small,N,20100512
66,Bifocal,1.25,-1.00,110,2.00,0.00,-0.75,87,2.00,Neutral,-,Medium,N,20180420
67,Single,0.00,-2.00,100,0.00,0.00,-1.75,75,0.00,Neutral,Metal,Large,N,20091022
68,Bifocal,-3.50,-1.75,175,2.25,-4.25,-1.75,16,2.25,Neutral,-,Medium,N,20160401
69,Single,-1.75,0.00,0,0.00,-2.25,0.00,0,0.00,Neutral,-,Small,N,20131021
70,Single,3.50,-2.25,93,0.00,3.00,-1.00,166,0.00,Neutral,-,Medium,N,20120616
71,Bifocal,1.50,-1.00,95,1.25,2.75,-1.75,90,1.25,Neutral,-,Medium,N,20110425
72,Bifocal,6.00,-0.75,88,2.25,6.25,-1.50,85,2.25,Neutral,Metal,Medium,N,20190916
73,Single,4.00,-0.50,103,0.00,4.00,-0.25,163,0.00,Neutral,-,Small,N,20120616
74,Bifocal,1.50,-1.00,114,2.25,1.50,-0.50,123,2.25,Neutral,Metal,Medium,N,20091113
75,Single,3.25,-1.00,110,0.00,2.75,-0.75,77,0.00,Neutral,-,Small,N,20120616
76,Bifocal,3.25,-0.50,51,2.50,3.25,-0.25,119,2.50,Neutral,-,Medium,N,20170512
77,Bifocal,5.50,-0.75,85,4.00,4.00,-0.75,84,4.00,Feminine,Metal,Large,N,20190916
78,Bifocal,0.25,-0.50,47,2.75,0.50,-1.75,76,2.75,Neutral,-,Medium,N,20140504
79,Bifocal,1.75,-0.75,106,1.75,1.00,-0.25,95,1.75,Neutral,-,Small,N,20180420
80,Bifocal,1.75,-1.00,178,2.00,0.25,0.00,0,2.00,Feminine,-,Medium,N,20110425
81,Bifocal,0.75,-1.00,93,1.25,1.00,-1.25,88,1.25,Neutral,Plastic,Medium,N,20100512
82,Bifocal,3.25,-0.75,83,3.50,3.50,-1.25,89,3.50,Neutral,-,Medium,N,20170512
83,Single,1.25,0.00,0,0.00,0.00,-0.75,89,0.00,Neutral,-,Small,N,20130417
84,Bifocal,4.25,-0.50,179,2.75,4.25,-1.00,166,2.75,Feminine,-,Large,N,20190916
85,Bifocal,1.75,0.00,0,2.25,2.25,-1.50,34,2.25,Neutral,-,Large,N,20110425
86,Bifocal,-2.25,-1.25,97,4.25,-1.25,-2.25,43,4.25,Feminine,Plastic,Large,N,20091022
87,Bifocal,-8.25,-1.75,5,3.50,-8.25,-1.75,4,3.50,Neutral,-,Medium,N,20160401
88,Bifocal,2.50,-0.25,21,1.25,3.00,0.00,0,1.25,Neutral,Plastic,Large,N,20100512
89,Bifocal,-6.00,-0.50,149,1.75,-6.75,-1.00,178,1.75,Neutral,-,Small,N,20160401
90,Bifocal,1.75,-0.25,58,1.50,1.75,-0.25,99,1.50,Neutral,-,Medium,N,20180420
91,Bifocal,4.50,-0.50,68,2.75,4.00,0.00,0,2.75,Feminine,Plastic,Large,N,20190916
92,Bifocal,3.25,0.00,0,3.00,3.50,-0.25,78,3.00,Neutral,-,Medium,N,20170512
93,Single,0.50,-1.50,91,0.00,1.50,-2.00,54,0.00,Feminine,Plastic,Medium,N,20091022
94,Bifocal,3.25,-1.50,33,2.75,2.75,-0.75,97,2.75,Neutral,-,Large,N,20170512
95,Bifocal,3.25,-0.25,47,3.00,3.00,-0.25,101,3.00,Neutral,-,Medium,N,20170512
96,Bifocal,1.75,-1.75,100,2.50,1.75,0.00,0,2.50,Feminine,-,Large,N,20180420
97,Bifocal,2.25,-0.50,38,1.00,2.25,-0.75,118,1.00,Neutral,-,Large,N,20150505
98,Bifocal,2.25,-0.25,122,2.25,1.75,-0.50,68,2.25,Neutral,-,Medium,N,20150505
99,Single,-2.50,-0.25,102,0.00,-3.00,-0.50,38,0.00,Neutral,-,Small,N,20131021
100,Bifocal,1.75,0.00,0,1.75,1.75,-0.25,57,1.75,Neutral,-,Medium,N,20110425
101,Bifocal,2.25,-1.25,91,1.50,2.00,-1.75,88,1.50,Feminine,-,Medium,N,20150505
102,Bifocal,1.75,-1.25,108,1.50,0.00,-1.00,85,1.50,Neutral,-,Small,N,20180420
103,Bifocal,-3.00,0.00,0,2.00,-3.00,-0.25,136,2.00,Neutral,-,Medium,N,20160401
104,Bifocal,0.00,-0.25,21,2.00,0.00,-0.50,138,2.00,Neutral,-,Medium,N,20140504
105,Bifocal,3.00,0.00,0,2.25,3.75,-1.00,152,2.25,Neutral,-,Medium,N,20170512
106,Bifocal,1.75,-1.75,104,1.00,2.00,-1.50,73,1.00,Neutral,-,Medium,N,20110425
107,Bifocal,3.00,-0.50,105,2.00,3.75,-0.50,100,2.00,Neutral,-,Small,N,20170512
108,Bifocal,2.75,-2.00,101,2.50,3.25,-2.00,85,2.50,Neutral,-,Small,N,20150505
109,Bifocal,0.75,-0.75,15,2.25,0.75,-0.50,29,2.25,Neutral,Metal,Medium,N,20100512
110,Bifocal,1.50,-0.25,140,2.00,1.75,-0.25,115,2.00,Neutral,-,Large,N,20180420
111,Bifocal,1.75,-0.75,109,2.25,2.00,-1.00,55,2.25,Neutral,-,Small,N,20180420
112,Bifocal,7.50,-1.25,165,2.50,7.25,-0.25,3,2.50,Feminine,Metal,Medium,N,20091113
113,Bifocal,-2.25,-1.25,4,2.00,-3.00,-1.50,2,2.00,Neutral,-,Small,N,20160401
114,Bifocal,3.00,-0.50,164,1.00,3.25,-1.25,177,1.00,Neutral,-,Small,N,20170512
115,Single,1.50,-2.00,164,0.00,1.50,-2.00,14,0.00,Feminine,-,Small,N,20130417
116,Bifocal,2.00,0.00,0,2.25,2.50,-1.00,93,2.25,Neutral,-,Medium,N,20110425
117,Bifocal,4.75,0.00,0,3.00,5.25,-0.50,101,3.00,Feminine,Plastic,Large,N,20190916
118,Bifocal,2.50,-0.50,86,1.75,2.50,-0.25,110,1.75,Neutral,Plastic,Large,N,20090607
119,Bifocal,-3.00,-0.50,125,1.50,-2.75,-0.50,47,1.50,Neutral,-,Medium,N,20160401
120,Bifocal,2.25,-1.25,101,2.50,1.50,-0.50,98,2.50,Neutral,Metal,Medium,N,20090607
121,Bifocal,1.75,-1.00,78,1.50,3.00,-1.75,84,1.50,Neutral,-,Small,N,20110425
122,Bifocal,2.50,-0.75,104,2.75,2.75,-0.50,92,2.75,Neutral,Plastic,Medium,N,20090607
123,Single,2.50,-1.00,95,0.00,2.50,-1.00,92,0.00,Feminine,Metal,Medium,N,20190916
124,Bifocal,-1.75,-1.50,63,1.75,-1.50,-0.50,125,1.75,Neutral,-,Small,N,20160401
125,Bifocal,2.75,-0.75,110,2.50,2.25,-0.25,70,2.50,Neutral,-,Medium,N,20170512
126,Bifocal,1.75,-1.25,104,2.50,1.75,-1.50,95,2.50,Neutral,-,Medium,N,20180420
127,Single,2.50,-1.25,86,0.00,2.25,-1.25,98,0.00,Neutral,Metal,Medium,N,20190916
128,Bifocal,3.00,-0.50,124,2.00,2.25,-0.75,85,2.00,Neutral,-,Medium,N,20170512
129,Single,2.50,-0.50,70,0.00,2.00,0.00,0,0.00,Neutral,Plastic,Large,N,20190916
130,Single,2.50,-0.50,99,0.00,2.25,0.00,0,0.00,Neutral,Plastic,Small,N,20190916
131,Single,1.50,-0.50,93,0.00,1.25,-0.75,83,0.00,Neutral,Plastic,Medium,N,20190916
132,Bifocal,4.00,-0.75,85,2.25,4.00,-0.50,92,2.25,Neutral,Metal,Large,N,20190916
133,Bifocal,2.75,-0.25,54,2.00,2.75,-0.25,103,2.00,Neutral,-,Medium,N,20150505
134,Bifocal,2.50,0.00,0,1.00,2.25,0.00,0,1.00,Neutral,Metal,Medium,N,20100512
135,Bifocal,2.75,-1.25,97,2.75,2.50,-0.25,41,2.75,Neutral,-,Medium,N,20170512
136,Bifocal,5.50,0.00,0,3.00,4.25,0.00,0,3.00,Neutral,Plastic,Large,N,20190916
137,Bifocal,2.25,-1.25,80,2.25,2.25,-1.00,120,2.25,Neutral,Plastic,Medium,N,20090607
138,Bifocal,2.75,-0.50,95,2.00,3.50,-0.75,74,2.00,Neutral,-,Small,N,20150505
139,Bifocal,0.25,-0.25,167,2.50,1.25,-1.00,66,2.50,Neutral,-,Small,N,20140504
140,Single,1.50,0.00,0,0.00,2.50,-1.75,80,0.00,Neutral,-,Small,N,20130417
141,Bifocal,5.25,-1.50,92,0.75,5.25,-2.25,84,0.75,Neutral,Metal,Medium,N,20100512
142,Bifocal,0.25,-0.50,103,2.25,0.00,-0.75,162,2.25,Neutral,-,Small,N,20140504
143,Bifocal,2.50,-0.50,90,2.00,2.25,-0.50,88,2.00,Neutral,Plastic,Medium,N,20090607
144,Single,1.00,-1.00,77,0.00,1.75,-1.75,72,0.00,Neutral,-,Medium,N,20120616
145,Single,1.00,-0.25,123,0.00,1.25,-0.50,69,0.00,Neutral,-,Medium,N,20120616
146,Bifocal,1.50,-0.50,68,1.75,0.75,-0.50,76,1.75,Feminine,-,Small,N,20180420
147,Single,1.50,0.00,0,0.00,3.50,-1.00,180,0.00,Feminine,Plastic,Small,N,20190916
148,Single,0.75,-0.50,99,0.00,0.75,-1.00,70,0.00,Neutral,-,Small,N,20120616
149,Bifocal,2.50,-1.75,173,2.75,2.75,-2.25,18,2.75,Feminine,-,Medium,N,20170512
150,Bifocal,1.25,-0.50,148,1.00,1.25,-0.25,174,1.00,Neutral,-,Small,N,20180420
151,Bifocal,0.75,-1.00,89,2.25,1.25,-1.25,77,2.25,Neutral,Metal,Medium,N,20100512
152,Bifocal,2.50,-1.00,94,2.75,1.75,-0.50,65,2.75,Neutral,-,Medium,N,20170512
153,Bifocal,2.75,-0.25,119,1.25,1.00,-0.25,25,1.25,Neutral,-,Medium,N,20170512
154,Single,-1.00,-0.50,65,0.00,-1.25,-0.50,179,0.00,Neutral,Metal,Medium,N,20190916
155,Bifocal,2.50,-1.75,96,2.50,1.50,-1.75,87,2.50,Neutral,Metal,Large,N,20090607
156,Bifocal,1.75,-2.00,93,2.75,0.75,-1.25,68,2.75,Neutral,-,Medium,N,20180420
157,Single,2.00,-1.00,120,0.00,1.00,-1.50,76,0.00,Neutral,Metal,Medium,N,20190916
158,Bifocal,2.25,-1.25,80,2.25,1.75,-1.50,100,2.25,Neutral,Metal,Large,L,20090607
159,Single,2.00,-0.75,92,0.00,1.50,-1.25,64,0.00,Neutral,-,Small,N,20160401
160,Bifocal,1.00,-0.50,82,1.25,0.50,-0.50,103,1.25,Feminine,Plastic,Large,N,20091113
161,Bifocal,1.75,-0.75,128,2.50,1.75,0.00,0,2.50,Feminine,-,Large,N,20180420
162,Bifocal,4.75,-0.50,99,2.50,3.25,0.00,0,2.50,Neutral,-,Large,N,20131021
163,Bifocal,2.75,-1.25,103,3.50,3.00,-1.25,90,3.50,Neutral,-,Large,N,20150505
164,Bifocal,1.50,-4.75,44,2.50,0.00,-0.50,162,2.50,Neutral,-,Medium,N,20110425
165,Single,0.50,-1.00,23,0.00,2.00,-1.00,77,0.00,Neutral,-,Large,N,20120616
166,Bifocal,0.25,-0.50,174,2.75,1.25,-0.75,61,2.75,Neutral,-,Small,N,20140504
167,Single,4.25,-1.75,92,0.00,4.00,-1.50,92,0.00,Neutral,-,Medium,N,20160401
168,Bifocal,1.75,-1.00,62,2.75,1.75,-1.00,125,2.75,Neutral,-,Medium,N,20180420
169,Bifocal,0.75,-2.25,16,1.00,1.25,-1.25,15,1.00,Neutral,Plastic,Medium,N,20100512
170,Bifocal,1.00,-1.25,88,3.00,0.75,-1.00,121,3.00,Feminine,Metal,Medium,N,20100512
171,Single,-4.00,0.00,0,0.00,-4.00,0.00,0,0.00,Neutral,-,Small,N,20160401
172,Bifocal,1.50,-0.25,106,2.00,1.25,-0.50,134,2.00,Neutral,-,Medium,N,20180420
173,Bifocal,1.75,-0.75,68,0.75,1.75,-0.50,90,0.75,Feminine,-,Small,N,20180420
174,Bifocal,3.25,-0.50,149,2.00,2.25,-0.25,129,2.00,Neutral,-,Medium,N,20170512
175,Bifocal,2.50,-1.25,44,2.25,2.25,-0.75,90,2.25,Neutral,Plastic,Medium,N,20090607
176,Bifocal,2.50,-1.00,163,3.25,1.75,0.00,0,3.25,Neutral,Metal,Medium,N,20090607
177,Single,1.50,-0.50,121,0.00,3.25,0.00,0,0.00,Neutral,-,Small,N,20130417
178,Bifocal,1.75,-0.50,95,2.75,2.50,-1.25,93,2.75,Neutral,-,Medium,N,20110425
179,Bifocal,4.00,-2.00,114,3.00,4.25,-2.00,69,3.00,Neutral,Metal,Large,N,20190916
180,Bifocal,1.25,-1.25,10,1.50,1.50,-1.00,152,1.50,Neutral,-,Small,N,20180420
181,Bifocal,-0.75,-2.25,153,1.75,-0.75,-1.75,50,1.75,Feminine,Metal,Medium,N,20190916
182,Bifocal,3.75,-0.75,88,2.75,3.50,-1.25,108,2.75,Neutral,-,Medium,N,20120616
183,Bifocal,0.25,-0.50,10,4.00,0.00,-0.50,6,4.00,Feminine,-,Medium,N,20140504
185,Bifocal,1.50,-0.75,100,2.25,1.75,-0.25,95,2.25,Neutral,-,Medium,N,20180420
186,Bifocal,2.25,-1.50,92,2.00,1.50,-0.50,99,2.00,Neutral,Metal,Medium,N,20100512
187,Single,-4.00,0.00,0,0.00,-4.00,0.00,0,0.00,Neutral,-,Small,N,20160401
188,Bifocal,2.25,-0.50,97,2.50,2.25,-0.50,86,2.50,Neutral,Plastic,Medium,N,20090607
189,Bifocal,1.75,-0.75,96,2.00,1.75,-0.25,69,2.00,Neutral,-,Small,N,20140504
190,Bifocal,2.25,0.00,0,2.25,2.25,-0.25,109,2.25,Neutral,Metal,Large,N,20090607
191,Bifocal,3.50,-1.25,89,2.25,3.00,-0.50,90,2.25,Neutral,-,Medium,N,20120616
192,Bifocal,1.75,-1.00,104,2.75,1.75,-1.00,106,2.75,Feminine,-,Medium,N,20110425
193,Bifocal,0.25,-0.75,138,2.25,1.00,-1.25,44,2.25,Neutral,-,Medium,N,20140504
194,Bifocal,2.75,-0.50,105,3.00,3.75,-0.50,83,3.00,Neutral,-,Small,N,20150505
195,Single,-5.50,0.00,0,0.00,-5.50,0.00,0,0.00,Neutral,-,Small,N,20160401
196,Single,1.00,-1.25,112,0.00,1.00,-0.75,67,0.00,Neutral,-,Medium,N,20160401
197,Bifocal,2.50,-0.25,144,2.25,2.75,0.00,0,2.25,Neutral,-,Medium,N,20170512
198,Single,38.00,0.00,0,0.00,38.00,0.00,0,0.00,Neutral,Plastic,Medium,N,20091022
199,Single,-0.75,0.00,0,0.00,-0.75,0.00,0,0.00,Neutral,Metal,Large,N,20190916
200,Bifocal,2.00,-0.50,85,2.25,1.50,-0.50,93,2.25,Neutral,-,Medium,N,20150505
201,Bifocal,3.75,-2.25,113,2.75,3.75,-2.25,74,2.75,Feminine,Plastic,Large,N,20120616
202,Bifocal,2.50,-0.50,140,2.50,2.75,-0.50,178,2.50,Neutral,Plastic,Large,N,20090607
203,Single,-0.75,-1.00,144,0.00,-0.75,-2.00,3,0.00,Neutral,Metal,Medium,N,20091022
204,Bifocal,2.75,-0.50,97,2.50,2.50,0.00,0,2.50,Neutral,-,Medium,N,20170512
205,Bifocal,2.50,-1.00,107,2.00,2.75,-0.25,56,2.00,Neutral,Metal,Medium,N,20090607
206,Bifocal,2.75,-1.50,81,2.75,2.00,-1.25,91,2.75,Neutral,-,Medium,N,20170512
207,Bifocal,3.75,-0.50,93,2.75,3.00,-0.25,96,2.75,Feminine,-,Large,N,20120616
208,Bifocal,3.00,-0.75,39,2.50,3.25,-1.00,77,2.50,Neutral,-,Small,N,20170512
209,Bifocal,1.25,-1.50,14,1.25,1.50,-1.25,148,1.25,Neutral,-,Medium,N,20180420
210,Bifocal,1.75,0.00,0,2.25,2.00,-0.25,62,2.25,Neutral,-,Medium,N,20110425
211,Bifocal,2.75,-1.25,86,1.75,2.75,-1.25,90,1.75,Neutral,-,Medium,N,20170512
212,Bifocal,3.50,-0.50,99,1.00,1.75,-1.25,80,1.00,Neutral,-,Medium,N,20120616
213,Bifocal,2.00,-0.50,94,1.50,2.25,-0.75,89,1.50,Neutral,-,Small,N,20150505
214,Bifocal,2.75,-0.75,76,2.00,3.00,-0.75,11,2.00,Neutral,-,Small,N,20170512
215,Bifocal,0.00,-1.00,171,3.00,0.00,-1.00,84,3.00,Neutral,-,Medium,N,20111102
216,Bifocal,1.25,-0.75,1,2.75,1.50,-0.75,179,2.75,Neutral,-,Medium,N,20180420
217,Bifocal,2.50,-1.00,98,2.50,2.50,-0.75,70,2.50,Neutral,Plastic,Large,L,20090607
218,Bifocal,2.00,-1.25,137,1.75,2.75,-0.75,172,1.75,Neutral,-,Small,N,20150505
219,Bifocal,1.75,-1.25,90,3.00,0.75,-0.75,143,3.00,Feminine,-,Medium,N,20110425
220,Bifocal,3.50,-0.50,66,2.75,3.25,0.00,0,2.75,Feminine,-,Large,N,20120616
222,Bifocal,2.00,-0.25,95,2.25,2.00,-0.25,89,2.25,Neutral,Metal,Large,N,20090610
223,Bifocal,2.00,-0.50,128,3.00,2.00,-0.50,88,3.00,Neutral,-,Medium,N,20110426
224,Bifocal,13.75,-0.50,36,3.50,13.25,-0.75,128,3.50,Neutral,-,Large,N,20120616
225,Bifocal,2.00,-0.75,96,2.50,2.00,-1.00,89,2.50,Feminine,-,Medium,N,20110426
226,Bifocal,1.25,-1.00,110,2.25,1.25,-1.25,70,2.25,Neutral,-,Medium,N,20180420
227,Single,-0.75,0.00,0,0.00,-0.75,0.00,0,0.00,Neutral,Metal,Small,N,20190916
228,Bifocal,-0.75,-0.25,55,2.50,0.00,-0.50,165,2.50,Feminine,Plastic,Medium,N,20190916
229,Bifocal,2.00,-1.50,154,3.75,1.75,-0.50,89,3.75,Neutral,-,Medium,N,20150505
230,Single,0.75,-2.00,20,0.00,1.25,-2.00,171,0.00,Neutral,-,Small,N,20130417
231,Bifocal,2.75,-0.50,54,2.25,3.50,-2.00,47,2.25,Neutral,-,Small,N,20170512
232,Bifocal,3.00,-1.25,86,3.50,3.00,-1.50,87,3.50,Neutral,-,Medium,N,20120616
233,Bifocal,2.00,-0.75,58,2.75,3.50,-1.25,158,2.75,Neutral,-,Small,N,20110426
234,Bifocal,1.75,0.00,0,2.50,3.75,0.00,0,2.50,Neutral,-,Medium,N,20180420
235,Single,1.00,-0.50,115,0.00,1.25,-0.50,76,0.00,Feminine,Plastic,Medium,N,20190916
236,Bifocal,-2.25,-0.50,72,1.75,-2.75,-0.25,137,1.75,Neutral,-,Small,N,20160401
237,Bifocal,2.00,-1.75,85,3.00,1.75,-2.00,92,3.00,Feminine,-,Medium,N,20110426
238,Single,0.25,-1.25,163,0.00,0.50,-1.50,39,0.00,Neutral,-,Large,N,20130417
239,Single,1.00,-0.50,5,0.00,1.25,-0.25,5,0.00,Neutral,Metal,Medium,N,20190916
240,Single,0.00,-0.75,85,0.00,-0.25,-0.50,73,0.00,Neutral,Metal,Large,N,20190916
241,Bifocal,13.75,-0.50,106,2.75,13.25,-0.25,141,2.75,Neutral,Metal,Small,N,20061124
242,Bifocal,2.00,-0.25,101,2.50,2.50,-0.50,45,2.50,Neutral,-,Medium,N,20110426
243,Single,0.25,-0.25,3,0.00,2.25,0.00,0,0.00,Neutral,-,Medium,N,20120616
244,Bifocal,-3.50,-0.75,68,1.75,-2.00,-1.50,53,1.75,Neutral,-,Medium,N,20160401
245,Single,1.00,-0.50,41,0.00,1.25,-0.75,104,0.00,Neutral,Metal,Large,N,20190916
246,Bifocal,1.75,-1.50,106,2.50,1.75,-1.00,85,2.50,Neutral,-,Medium,N,20180420
247,Bifocal,1.00,-1.00,115,2.75,0.75,-0.50,120,2.75,Neutral,Plastic,Medium,N,20091113
248,Bifocal,2.00,-0.25,101,2.25,2.00,-0.25,94,2.25,Neutral,-,Small,N,20150505
249,Single,1.00,-0.25,101,0.00,1.25,-0.50,67,0.00,Feminine,-,Small,N,20160401
250,Single,1.25,-1.50,27,0.00,1.25,-1.50,122,0.00,Neutral,Metal,Small,N,20091022
251,Single,-1.50,-0.75,95,0.00,-1.75,-0.50,89,0.00,Neutral,-,Small,N,20140620
252,Bifocal,2.00,-1.75,112,3.50,1.50,-0.25,90,3.50,Feminine,-,Medium,N,20150505
253,Bifocal,2.00,-1.00,102,2.00,1.75,-1.25,68,2.00,Neutral,Plastic,Medium,N,20090610
254,Bifocal,2.00,-1.25,99,3.00,1.75,-0.50,90,3.00,Neutral,-,Medium,N,20110426
255,Single,0.75,-0.75,110,0.00,0.50,-0.75,78,0.00,Neutral,-,Medium,N,20130417
256,Bifocal,2.75,-0.25,106,3.00,2.25,-0.25,145,3.00,Neutral,-,Small,N,20150505
257,Bifocal,0.00,-1.25,92,3.50,1.25,-1.25,79,3.50,Neutral,Metal,Small,N,20091113
